Old Link,New Link
/document/MiFID-II/1/1/element/article_93_1,/document/MiFID-II/annotation/452
/document/MiFID-II/1/1/element/article_27_5,/document/MiFID-II/annotation/622
/document/RTS-27/1/1/element/article_9__point_a_i,/document/RTS-27/annotation/542
/document/RTS-27/annotation/542i,/document/RTS-27/annotation/487
/document/RTS-27/annotation/487i,/document/RTS-27/annotation/471
/document/RTS-27/1/1/element/article_9__point_a_ii,/document/RTS-27/annotation/487
/document/RTS-27/1/1/element/article_9__point_a_iii,/document/RTS-27/annotation/471
/document/RTS-27/1/1/element/article_9__point_c_i,/document/RTS-27/annotation/589
/document/RTS-27/annotation/589i,/document/RTS-27/annotation/589
/document/RTS-27/annotation/589ii,/document/RTS-27/annotation/589
/document/RTS-27/1/1/element/article_9__point_c_ii,/document/RTS-27/annotation/589
/document/RTS-27/1/1/element/article_9__point_c_iii,/document/RTS-27/annotation/589
/document/MiFID-II/1/1/element/article_27_6,/document/MiFID-II/annotation/595
/document/MiFID-II/1/1/element/article_57_1,/document/MiFID-II/annotation/11
/document/MiFIR/1/1/element/article_2_1__point_30,/document/MiFIR/annotation/2712
/document/RTS-21/1/1/element/article_2__point_1,/document/RTS-21/annotation/15
/document/RTS-21/1/1/element/article_8,/document/RTS-21/annotation/5
/document/MiFID-II/1/1/element/article_58,/document/MiFID-II/annotation/2713
/document/MiFID-II/annotation/2713_2,/document/MiFID-II/annotation/730
/document/MiFID-II/1/1/element/article_58_2,/document/MiFID-II/annotation/730
/document/MiFID-II/1/1/element/article_24_4,/document/MiFID-II/annotation/55
/document/MiFID-II/1/1/element/article_16_6,/document/MiFID-II/annotation/2714
/document/MiFID-II-Del-Reg/1/1/element/article_75,/document/MiFID-II-Del-Reg/annotation/2715
/document/MiFID-II-Del-Reg/1/1/element/article_74,/document/MiFID-II-Del-Reg/annotation/2716
/document/MiFIR/1/1/element/article_25_1,/document/MiFIR/annotation/2717
/document/MiFID-II/1/1/element/article_25_2,/document/MiFID-II/annotation/767
/document/MiFID-II/1/1/element/article_25_3,/document/MiFID-II/annotation/762
/document/MiFID-II/1/1/element/annex_1__list_2,/document/MiFID-II/annotation/617
/document/MiFID-II-Del-Reg/1/1/element/article_54_2,/document/MiFID-II-Del-Reg/annotation/443
/document/MiFID-II-Del-Reg/1/1/element/article_54_3,/document/MiFID-II-Del-Reg/annotation/447
/document/MiFID-II-Del-Reg/1/1/element/article_56_1,/document/MiFID-II-Del-Reg/annotation/437
/document/MiFID-II/annotation/2718_4__point_a_v,/document/MiFID-II/annotation/754
/document/MiFID-II/annotation/2718_4__point_a_iv,/document/MiFID-II/annotation/743
/document/MiFID-II/annotation/2718_4__point_a_iii,/document/MiFID-II/annotation/740
/document/MiFID-II/annotation/2718_4__point_a_ii,/document/MiFID-II/annotation/746
/document/MiFID-II/annotation/2718_4__point_a_i,/document/MiFID-II/annotation/755
/document/MiFID-II/annotation/2718_4,/document/MiFID-II/annotation/757
/document/MiFID-II/1/1/element/article_25_4,/document/MiFID-II/annotation/757
/document/MiFID-II/1/1/element/article_25_4__point_a_i,/document/MiFID-II/annotation/755
/document/MiFID-II/1/1/element/article_25_4__point_a_ii,/document/MiFID-II/annotation/746
/document/MiFID-II/1/1/element/article_25_4__point_a_iii,/document/MiFID-II/annotation/740
/document/MiFID-II/1/1/element/article_25_4__point_a_iv,/document/MiFID-II/annotation/743
/document/MiFID-II/1/1/element/article_25_4__point_a_v,/document/MiFID-II/annotation/754
/document/MiFID-II/1/1/element/article_25,/document/MiFID-II/annotation/2718
/document/MiFID-II/annotation/2718_1,/document/MiFID-II/annotation/768
/document/MiFID-II-Del-Reg/1/1/element/article_57__point_a,/document/MiFID-II-Del-Reg/annotation/698
/document/MiFID-II-Del-Reg/1/1/element/article_57,/document/MiFID-II-Del-Reg/annotation/669
/document/MiFID-II/annotation/757__point_b,/document/MiFID-II/annotation/752
/document/MiFID-II/1/1/element/article_25_4__point_b,/document/MiFID-II/annotation/752
/document/MiFID-II/annotation/2718_6,/document/MiFID-II/annotation/769
/document/MiFID-II/1/1/element/article_25_6,/document/MiFID-II/annotation/769
/document/MiFIR/1/1/element/article_28_1,/document/MiFIR/annotation/153
/document/MiFIR/1/1/element/article_28,/document/MiFIR/annotation/2719
/document/MiFIR/annotation/2719_2,/document/MiFIR/annotation/147
/document/MiFIR/1/1/element/article_28_2,/document/MiFIR/annotation/147
/document/RTS-Trading-Obligations/1/1/element/article_2,/document/RTS-Trading-Obligations/annotation/149
/document/RTS-EMIR-Clearing/1/1/element/article_1_2,/document/RTS-EMIR-Clearing/annotation/1064
/document/MiFIR/1/1/element/article_27_1,/document/MiFIR/annotation/166
/document/RTS-23/1/1/element/article_2,/document/RTS-23/annotation/154
/document/MiFIR/1/1/element/article_18,/document/MiFIR/annotation/2720
/document/MiFIR/1/1/element/article_14_1,/document/MiFIR/annotation/2721
/document/MiFIR/annotation/2720_2,/document/MiFIR/annotation/132
/document/MiFIR/1/1/element/article_18_2,/document/MiFIR/annotation/132
/document/MiFIR/1/1/element/article_1_5,/document/MiFIR/annotation/2722
/document/MiFIR/1/1/element/article_14_2,/document/MiFIR/annotation/2723
/document/MiFIR/1/1/element/article_9_1__point_c,/document/MiFIR/annotation/189
/document/MiFIR/1/1/element/article_9_1__point_a,/document/MiFIR/annotation/201
/document/MiFIR/annotation/2720_6,/document/MiFIR/annotation/138
/document/MiFIR/1/1/element/article_18_6,/document/MiFIR/annotation/138
/document/MiFIR/1/1/element/article_31_2,/document/MiFIR/annotation/293
/document/MiFIR/annotation/2720_10,/document/MiFIR/annotation/133
/document/MiFIR/1/1/element/article_18_10,/document/MiFIR/annotation/133
/document/MiFIR/1/1/element/article_1_6,/document/MiFIR/annotation/300
/document/RTS-2/1/1/element/article_8_1__point_b,/document/RTS-2/annotation/347
/document/RTS-2/1/1/element/article_8_1__point_c,/document/RTS-2/annotation/354
/document/RTS-2/1/1/element/article_11_2__point_c,/document/RTS-2/annotation/321
/document/MiFIR/1/1/element/article_21,/document/MiFIR/annotation/2724
/document/MiFIR/annotation/2724_1,/document/MiFIR/annotation/384
/document/MiFIR/1/1/element/article_21_1,/document/MiFIR/annotation/384
/document/MiFIR/1/1/element/article_20_1,/document/MiFIR/annotation/2725
/document/MiFIR/1/1/element/article_7_1,/document/MiFIR/annotation/2726
/document/RTS-1/1/1/element/article_15_1,/document/RTS-1/annotation/2727
/document/RTS-1/1/1/element/article_14_2__point_a,/document/RTS-1/annotation/2728
/document/RTS-1/1/1/element/article_14_2__point_b,/document/RTS-1/annotation/2729
/document/RTS-1/annotation/2727__point_b,/document/RTS-1/annotation/2730
/document/RTS-1/1/1/element/article_15_1__point_b,/document/RTS-1/annotation/2730
/document/RTS-1/1/1/element/article_15_3,/document/RTS-1/annotation/2731
/document/RTS-1/annotation/2731__point_a,/document/RTS-1/annotation/2732
/document/RTS-1/annotation/2731__point_b,/document/RTS-1/annotation/2733
/document/RTS-1/1/1/element/article_15_3__point_a,/document/RTS-1/annotation/2732
/document/RTS-1/1/1/element/article_15_3__point_b,/document/RTS-1/annotation/2733
/document/RTS-2/1/1/element/article_8_1,/document/RTS-2/annotation/387
/document/RTS-2/annotation/387__point_a,/document/RTS-2/annotation/386
/document/RTS-2/1/1/element/article_8_1__point_a,/document/RTS-2/annotation/386
/document/RTS-2/1/1/element/article_7_4__point_a,/document/RTS-2/annotation/296
/document/RTS-2/1/1/element/article_7_4__point_b,/document/RTS-2/annotation/341
/document/MiFIR/1/1/element/article_11_3,/document/MiFIR/annotation/362
/document/RTS-2/1/1/element/article_11_2__point_c,/document/RTS-2/annotation/321
/document/RTS-2/1/1/element/article_11_1__point_d,/document/RTS-2/annotation/320
/document/RTS-2/1/1/element/article_11_1__point_c,/document/RTS-2/annotation/360
/document/RTS-2/1/1/element/article_11_1__point_b,/document/RTS-2/annotation/350
/document/RTS-2/1/1/element/article_11_1__point_a_ii,/document/RTS-2/annotation/369
/document/RTS-2/1/1/element/article_11_1__point_a_i,/document/RTS-2/annotation/382
/document/RTS-2/1/1/element/article_7_6,/document/RTS-2/annotation/322
/document/RTS-2/1/1/element/article_7,/document/RTS-2/annotation/2734
/document/RTS-2/annotation/2734_5,/document/RTS-2/annotation/377
/document/RTS-2/annotation/2734_1,/document/RTS-2/annotation/330
/document/RTS-2/1/1/element/article_7_5,/document/RTS-2/annotation/377
/document/RTS-2/1/1/element/article_7_1,/document/RTS-2/annotation/330
/document/RTS-2/1/1/element/article_12__point_a,/document/RTS-2/annotation/385
/document/RTS-2/1/1/element/article_12__point_b,/document/RTS-2/annotation/388
/document/RTS-2/1/1/element/article_12__point_c,/document/RTS-2/annotation/333
/document/RTS-2/1/1/element/article_12__point_d,/document/RTS-2/annotation/352
/document/MiFIR/1/1/element/article_11_2,/document/MiFIR/annotation/331
/document/MiFIR/1/1/element/article_8,/document/MiFIR/annotation/2736
/document/MiFIR/annotation/2736_1,/document/MiFIR/annotation/179
/document/MiFIR/1/1/element/article_8_1,/document/MiFIR/annotation/179
/document/MiFIR/1/1/element/article_3_1,/document/MiFIR/annotation/194
/document/MiFIR/1/1/element/article_10_1,/document/MiFIR/annotation/340
/document/MiFIR/1/1/element/article_9_1__point_b,/document/MiFIR/annotation/201
/document/MiFIR/annotation/2736_4,/document/MiFIR/annotation/173
/document/MiFIR/1/1/element/article_8_4,/document/MiFIR/annotation/173
/document/MiFIR/1/1/element/article_4_1__point_a,/document/MiFIR/annotation/170
/document/MiFIR/1/1/element/article_4_1__point_b,/document/MiFIR/annotation/199
/document/MiFIR/1/1/element/article_4_1__point_c,/document/MiFIR/annotation/188
/document/MiFIR/1/1/element/article_4_1__point_d,/document/MiFIR/annotation/177
/document/MiFIR/1/1/element/article_9_1__point_c,/document/MiFIR/annotation/189
/document/RTS-2/1/1/element/article_4,/document/RTS-2/annotation/2737
/document/MiFIR/1/1/element/article_9_1__point_a,/document/MiFIR/annotation/201
/document/MiFIR/1/1/element/article_9_4,/document/MiFIR/annotation/200
